Order Number,Time Taken to Sort,Tie Break Count,Tie of Tie Break Count
236,0.016633033752441406,1,196
237,0.014954805374145508,1,192
238,0.014955520629882812,1,196
239,0.014998435974121094,1,195
240,0.014775991439819336,1,200
241,0.015024900436401367,1,200
242,0.015755176544189453,1,202
243,0.01494908332824707,1,204
244,0.014590024948120117,1,202
245,0.015807628631591797,1,199
246,0.014788150787353516,1,198
247,0.016333580017089844,1,197
248,0.019612789154052734,1,194
249,0.01549077033996582,1,193
250,0.015068769454956055,1,193
251,0.014497995376586914,1,193
252,0.014600038528442383,1,191
253,0.014872074127197266,1,190
254,0.01453399658203125,1,191
255,0.014600515365600586,1,189
256,0.01434183120727539,1,190
257,0.015230417251586914,1,190
258,0.01514124870300293,1,187
259,0.015295982360839844,1,192
260,0.015025854110717773,1,193
261,0.015603780746459961,1,192
262,0.015631675720214844,1,193
263,0.014666318893432617,1,192
264,0.014769554138183594,1,192
265,0.014255523681640625,1,191
266,0.014621973037719727,1,190
267,0.015189886093139648,1,188
268,0.014675378799438477,1,196
269,0.014524459838867188,1,200
270,0.014379501342773438,1,200
271,0.015276193618774414,1,202
272,0.014646530151367188,1,202
273,0.014930486679077148,1,200
274,0.014766693115234375,1,199
275,0.014664888381958008,1,200
276,0.015496492385864258,1,197
277,0.0145111083984375,1,194
278,0.015444755554199219,1,191
279,0.015106201171875,1,189
280,0.015878915786743164,1,188
281,0.021444320678710938,1,187
282,0.02427220344543457,1,194
283,0.01778578758239746,1,193
284,0.021886110305786133,1,192
285,0.017014503479003906,1,195
286,0.017421245574951172,1,199
287,0.015580892562866211,1,207
288,0.016176462173461914,1,213
289,0.017000913619995117,1,214
290,0.018338441848754883,1,225
291,0.018136262893676758,1,226
292,0.017096281051635742,1,228
293,0.018532752990722656,0,246
294,0.01894998550415039,0,245
295,0.01727128028869629,0,241
296,0.01743769645690918,0,237
297,0.016609907150268555,0,234
298,0.016378402709960938,0,234
299,0.016751766204833984,0,233
300,0.018895626068115234,0,232
301,0.021354198455810547,0,227
302,0.019577741622924805,0,233
303,0.016788721084594727,0,231
304,0.015858888626098633,0,232
305,0.024920940399169922,0,229
306,0.017670869827270508,0,232
307,0.016714811325073242,0,231
308,0.02072763442993164,0,224
309,0.01797318458557129,0,222
310,0.015919923782348633,0,219
311,0.016747713088989258,0,216
312,0.017179012298583984,0,214
313,0.014313936233520508,0,214
314,0.014393091201782227,0,220
315,0.015730619430541992,0,219
316,0.02073502540588379,0,222
317,0.016562461853027344,0,217
318,0.018543481826782227,0,214
319,0.017422914505004883,0,217
320,0.015450239181518555,0,226
321,0.015825271606445312,0,229
322,0.01632380485534668,0,234
323,0.0181729793548584,0,232
324,0.014975786209106445,0,236
325,0.018920421600341797,0,235
326,0.024358510971069336,0,236
327,0.019562244415283203,0,230
328,0.021478652954101562,0,230
329,0.01677870750427246,0,248
330,0.019731760025024414,0,245
331,0.017953872680664062,0,242
332,0.018613338470458984,0,254
333,0.022162437438964844,0,253
334,0.020923852920532227,0,251
335,0.01830005645751953,0,261
336,0.015955209732055664,0,259
337,0.02067852020263672,0,259
338,0.020102500915527344,0,255
339,0.013439178466796875,0,252
340,0.017137765884399414,0,265
341,0.025264263153076172,0,269
342,0.02147650718688965,0,264
343,0.018352270126342773,0,266
344,0.02109217643737793,0,265
345,0.018449068069458008,0,260
346,0.014546394348144531,0,287
347,0.013578653335571289,0,298
348,0.02098989486694336,0,323
349,0.020703554153442383,0,355
350,0.014386415481567383,0,354
