Order Number,Time Taken to Sort,Tie Break Count,Tie of Tie Break Count
171,2.2505571842193604,30,0
172,2.2687840461730957,24,0
173,2.2511301040649414,20,0
174,2.2339065074920654,16,0
175,2.1692018508911133,18,0
176,2.1641933917999268,41,0
177,2.160973072052002,58,0
178,2.2090330123901367,52,0
179,2.2432267665863037,48,0
180,2.2202067375183105,34,0
181,2.148357629776001,33,0
182,2.122978687286377,38,0
183,2.1224539279937744,36,0
184,2.1768243312835693,52,0
185,2.1552577018737793,56,0
186,2.135061740875244,49,0
187,2.1276755332946777,18,0
188,2.1532716751098633,17,0
189,2.1051836013793945,20,0
190,2.1539361476898193,35,0
191,2.1532998085021973,69,0
192,2.1608409881591797,66,0
193,2.1228232383728027,61,0
194,2.073239803314209,32,0
195,2.0733752250671387,39,0
196,2.0583133697509766,44,0
197,2.091932773590088,41,0
198,2.1107804775238037,40,0
199,2.096086263656616,38,0
200,2.0870018005371094,58,0
201,2.044609308242798,53,0
202,2.0396597385406494,39,0
203,2.0524232387542725,68,0
204,2.0676746368408203,71,0
205,2.0468413829803467,94,0
206,2.0207149982452393,90,0
207,2.0124077796936035,60,0
208,2.0013539791107178,48,0
209,2.0070576667785645,44,0
210,2.041208028793335,42,0
211,1.998718023300171,42,0
212,2.041790723800659,33,0
213,2.062281370162964,39,0
214,2.0854296684265137,92,0
215,2.019073724746704,89,0
216,1.972630262374878,81,0
217,1.9708869457244873,71,0
218,1.9641060829162598,45,0
219,2.0414774417877197,42,0
220,2.0137228965759277,29,0
221,2.0467617511749268,41,0
222,1.9559781551361084,42,0
223,2.002368927001953,42,0
224,1.9488775730133057,50,0
225,1.9689230918884277,84,0
226,1.9842398166656494,77,0
227,2.048508882522583,73,0
228,2.0080840587615967,52,0
229,1.9638807773590088,30,0
230,2.228360176086426,31,0
231,1.952164649963379,31,0
232,1.929173469543457,49,0
233,1.9626350402832031,80,0
234,1.9755480289459229,89,0
235,1.9356908798217773,84,0
236,1.8903028964996338,78,0
237,1.8989722728729248,67,0
238,1.886946439743042,43,0
239,1.9621672630310059,40,0
240,1.9540660381317139,39,0
241,1.9641942977905273,37,0
242,1.9187352657318115,18,0
243,1.8968849182128906,24,0
244,1.9133131504058838,35,0
245,1.8883557319641113,40,0
246,1.9338622093200684,73,0
247,1.929399013519287,54,0
248,1.8912849426269531,40,0
249,1.8987300395965576,34,0
250,1.881404161453247,35,0
251,1.8601634502410889,33,0
252,1.8428561687469482,34,0
253,1.9107913970947266,35,0
254,1.8689191341400146,74,0
255,1.9147133827209473,68,0
256,1.8859460353851318,58,0
257,1.8946113586425781,53,0
258,1.8891003131866455,34,0
259,1.8952651023864746,48,0
260,1.8714313507080078,52,0
261,1.8987483978271484,55,0
262,1.894566297531128,83,0
263,1.9050281047821045,86,0
264,1.8283183574676514,88,0
265,1.8589966297149658,70,0
266,1.8495676517486572,69,0
267,1.8582396507263184,47,0
268,1.8667659759521484,48,0
269,1.8519041538238525,42,0
270,1.7922101020812988,24,0
271,1.8143162727355957,31,0
272,1.7783727645874023,54,0
273,1.798995018005371,102,0
274,1.7999866008758545,84,0
275,1.7723948955535889,76,0
276,1.789271354675293,74,0
277,1.7882556915283203,57,0
278,1.773207426071167,58,0
279,1.8053498268127441,53,0
280,1.7516694068908691,33,0
281,1.7840628623962402,34,0
282,1.805633306503296,124,0
283,1.7373871803283691,122,0
284,1.7469584941864014,111,0
285,1.7408826351165771,92,0
286,1.782012701034546,72,0
287,1.7384538650512695,74,0
288,1.7641839981079102,62,0
289,1.7942626476287842,59,0
290,1.7581584453582764,57,0
291,1.715430498123169,62,0
292,1.774369239807129,66,0
293,1.7278461456298828,113,0
294,1.6995909214019775,152,0
295,1.6871423721313477,140,0
296,1.6864266395568848,135,0
297,1.6745553016662598,121,0
298,1.6813652515411377,104,0
299,1.6833059787750244,98,0
300,1.668494462966919,80,0
301,1.7158243656158447,69,0
302,1.699002742767334,70,0
303,1.7514383792877197,61,0
304,1.6695733070373535,79,0
305,1.674412488937378,82,0
306,1.7031712532043457,176,0
307,1.6607415676116943,160,0
308,1.6185414791107178,143,0
309,1.6437270641326904,126,0
310,1.654634952545166,124,0
311,1.6660325527191162,121,0
312,1.6404635906219482,127,0
